ZIP,COUNTYNAME,STATE,Helper1,Helper2,ZIP2,STCOUNTYFP,CLASSFP,,State,STCode,State Acres,Natl. Parks,Park Coverage (acres),%NPARK,,,,,,,,,,
20009,District of Columbia,DC,DC|District of Columbia,DC|District of,20009,11001,H6,,,,,,,,,,,,,,,,,
20010,District of Columbia,DC,DC|District of Columbia,DC|District of,20010,11001,H6,,,,,,,,,,,,,,,,,
20011,District of Columbia,DC,DC|District of Columbia,DC|District of,20011,11001,H6,,,,,,,,,,,,,,,,,
20012,District of Columbia,DC,DC|District of Columbia,DC|District of,20012,11001,H6,,,,,,,,,,,,,,,,,
20013,District of Columbia,DC,DC|District of Columbia,DC|District of,20013,11001,H6,,,,,,,,,,,,,,,,,
20015,District of Columbia,DC,DC|District of Columbia,DC|District of,20015,11001,H6,,,,,,,,,,,,,,,,,
20016,District of Columbia,DC,DC|District of Columbia,DC|District of,20016,11001,H6,,,,,,,,,,,,,,,,,
20017,District of Columbia,DC,DC|District of Columbia,DC|District of,20017,11001,H6,,,,,,,,,,,,,,,,,
20018,District of Columbia,DC,DC|District of Columbia,DC|District of,20018,11001,H6,,,,,,,,,,,,,,,,,
20019,District of Columbia,DC,DC|District of Columbia,DC|District of,20019,11001,H6,,,,,,,,,,,,,,,,,
20020,District of Columbia,DC,DC|District of Columbia,DC|District of,20020,11001,H6,,,,,,,,,,,,,,,,,
20024,District of Columbia,DC,DC|District of Columbia,DC|District of,20024,11001,H6,,,,,,,,,,,,,,,,,
20026,District of Columbia,DC,DC|District of Columbia,DC|District of,20026,11001,H6,,,,,,,,,,,,,,,,,
20027,District of Columbia,DC,DC|District of Columbia,DC|District of,20027,11001,H6,,,,,,,,,,,,,,,,,
20029,District of Columbia,DC,DC|District of Columbia,DC|District of,20029,11001,H6,,,,,,,,,,,,,,,,,
20030,District of Columbia,DC,DC|District of Columbia,DC|District of,20030,11001,H6,,,,,,,,,,,,,,,,,
20032,District of Columbia,DC,DC|District of Columbia,DC|District of,20032,11001,H6,,,,,,,,,,,,,,,,,
20033,District of Columbia,DC,DC|District of Columbia,DC|District of,20033,11001,H6,,,,,,,,,,,,,,,,,
20035,District of Columbia,DC,DC|District of Columbia,DC|District of,20035,11001,H6,,,,,,,,,,,,,,,,,
20036,District of Columbia,DC,DC|District of Columbia,DC|District of,20036,11001,H6,,,,,,,,,,,,,,,,,
20037,District of Columbia,DC,DC|District of Columbia,DC|District of,20037,11001,H6,,,,,,,,,,,,,,,,,
20038,District of Columbia,DC,DC|District of Columbia,DC|District of,20038,11001,H6,,,,,,,,,,,,,,,,,
20039,District of Columbia,DC,DC|District of Columbia,DC|District of,20039,11001,H6,,,,,,,,,,,,,,,,,
20040,District of Columbia,DC,DC|District of Columbia,DC|District of,20040,11001,H6,,,,,,,,,,,,,,,,,
20042,District of Columbia,DC,DC|District of Columbia,DC|District of,20042,11001,H6,,,,,,,,,,,,,,,,,
20043,District of Columbia,DC,DC|District of Columbia,DC|District of,20043,11001,H6,,,,,,,,,,,,,,,,,
20044,District of Columbia,DC,DC|District of Columbia,DC|District of,20044,11001,H6,,,,,,,,,,,,,,,,,
20045,District of Columbia,DC,DC|District of Columbia,DC|District of,20045,11001,H6,,,,,,,,,,,,,,,,,
20047,District of Columbia,DC,DC|District of Columbia,DC|District of,20047,11001,H6,,,,,,,,,,,,,,,,,
20049,District of Columbia,DC,DC|District of Columbia,DC|District of,20049,11001,H6,,,,,,,,,,,,,,,,,
20052,District of Columbia,DC,DC|District of Columbia,DC|District of,20052,11001,H6,,,,,,,,,,,,,,,,,
20053,District of Columbia,DC,DC|District of Columbia,DC|District of,20053,11001,H6,,,,,,,,,,,,,,,,,
20055,District of Columbia,DC,DC|District of Columbia,DC|District of,20055,11001,H6,,,,,,,,,,,,,,,,,
20056,District of Columbia,DC,DC|District of Columbia,DC|District of,20056,11001,H6,,,,,,,,,,,,,,,,,
20057,District of Columbia,DC,DC|District of Columbia,DC|District of,20057,11001,H6,,,,,,,,,,,,,,,,,
20059,District of Columbia,DC,DC|District of Columbia,DC|District of,20059,11001,H6,,,,,,,,,,,,,,,,,
20060,District of Columbia,DC,DC|District of Columbia,DC|District of,20060,11001,H6,,,,,,,,,,,,,,,,,
20062,District of Columbia,DC,DC|District of Columbia,DC|District of,20062,11001,H6,,,,,,,,,,,,,,,,,
20063,District of Columbia,DC,DC|District of Columbia,DC|District of,20063,11001,H6,,,,,,,,,,,,,,,,,
20064,District of Columbia,DC,DC|District of Columbia,DC|District of,20064,11001,H6,,,,,,,,,,,,,,,,,
20065,District of Columbia,DC,DC|District of Columbia,DC|District of,20065,11001,H6,,,,,,,,,,,,,,,,,
20066,District of Columbia,DC,DC|District of Columbia,DC|District of,20066,11001,H6,,,,,,,,,,,,,,,,,
20071,District of Columbia,DC,DC|District of Columbia,DC|District of,20071,11001,H6,,,,,,,,,,,,,,,,,
20073,District of Columbia,DC,DC|District of Columbia,DC|District of,20073,11001,H6,,,,,,,,,,,,,,,,,
20076,District of Columbia,DC,DC|District of Columbia,DC|District of,20076,11001,H6,,,,,,,,,,,,,,,,,
20090,District of Columbia,DC,DC|District of Columbia,DC|District of,20090,11001,H6,,,,,,,,,,,,,,,,,
20091,District of Columbia,DC,DC|District of Columbia,DC|District of,20091,11001,H6,,,,,,,,,,,,,,,,,
20201,District of Columbia,DC,DC|District of Columbia,DC|District of,20201,11001,H6,,,,,,,,,,,,,,,,,
20202,District of Columbia,DC,DC|District of Columbia,DC|District of,20202,11001,H6,,,,,,,,,,,,,,,,,
20203,District of Columbia,DC,DC|District of Columbia,DC|District of,20203,11001,H6,,,,,,,,,,,,,,,,,
20204,District of Columbia,DC,DC|District of Columbia,DC|District of,20204,11001,H6,,,,,,,,,,,,,,,,,
20208,District of Columbia,DC,DC|District of Columbia,DC|District of,20208,11001,H6,,,,,,,,,,,,,,,,,
20210,District of Columbia,DC,DC|District of Columbia,DC|District of,20210,11001,H6,,,,,,,,,,,,,,,,,
20211,District of Columbia,DC,DC|District of Columbia,DC|District of,20211,11001,H6,,,,,,,,,,,,,,,,,
20212,District of Columbia,DC,DC|District of Columbia,DC|District of,20212,11001,H6,,,,,,,,,,,,,,,,,
20213,District of Columbia,DC,DC|District of Columbia,DC|District of,20213,11001,H6,,,,,,,,,,,,,,,,,
20215,District of Columbia,DC,DC|District of Columbia,DC|District of,20215,11001,H6,,,,,,,,,,,,,,,,,
20216,District of Columbia,DC,DC|District of Columbia,DC|District of,20216,11001,H6,,,,,,,,,,,,,,,,,
20217,District of Columbia,DC,DC|District of Columbia,DC|District of,20217,11001,H6,,,,,,,,,,,,,,,,,
20218,District of Columbia,DC,DC|District of Columbia,DC|District of,20218,11001,H6,,,,,,,,,,,,,,,,,
20219,District of Columbia,DC,DC|District of Columbia,DC|District of,20219,11001,H6,,,,,,,,,,,,,,,,,
20220,District of Columbia,DC,DC|District of Columbia,DC|District of,20220,11001,H6,,,,,,,,,,,,,,,,,
20221,District of Columbia,DC,DC|District of Columbia,DC|District of,20221,11001,H6,,,,,,,,,,,,,,,,,
20222,District of Columbia,DC,DC|District of Columbia,DC|District of,20222,11001,H6,,,,,,,,,,,,,,,,,
20223,District of Columbia,DC,DC|District of Columbia,DC|District of,20223,11001,H6,,,,,,,,,,,,,,,,,
20224,District of Columbia,DC,DC|District of Columbia,DC|District of,20224,11001,H6,,,,,,,,,,,,,,,,,
20226,District of Columbia,DC,DC|District of Columbia,DC|District of,20226,11001,H6,,,,,,,,,,,,,,,,,
20227,District of Columbia,DC,DC|District of Columbia,DC|District of,20227,11001,H6,,,,,,,,,,,,,,,,,
20228,District of Columbia,DC,DC|District of Columbia,DC|District of,20228,11001,H6,,,,,,,,,,,,,,,,,
20229,District of Columbia,DC,DC|District of Columbia,DC|District of,20229,11001,H6,,,,,,,,,,,,,,,,,
20230,District of Columbia,DC,DC|District of Columbia,DC|District of,20230,11001,H6,,,,,,,,,,,,,,,,,
